id,gender,masterCategory,subCategory,articleType,baseColour,season,activity,productDisplayName,image
20833,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Business and Professional Activities,Clarks Men Black Formal Shoes,20833.jpg
10260,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Business and Professional Activities,John Miller Men Line Grey Trousers,10260.jpg
10008,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Winter Outdoor Activities,Nike Men Town Navy Blue T-Shirts,10008.jpg
10127,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,Everyday Wear Activities,Rockport Men Espresso Brown Casual Shoes,10127.jpg
9984,Men,Apparel,Topwear,Tshirts,Green,Fall,Winter Outdoor Activities,Nike Men As Value Runn Green T-Shirts,9984.jpg
2314,Men,Apparel,Topwear,Tshirts,Black,Fall,Winter Outdoor Activities,Nike Mens JDI Black T-shirt,2314.jpg
12801,Men,Apparel,Topwear,Tshirts,Red,Fall,Winter Outdoor Activities,Nike Men Red Manchester United Jersey,12801.jpg
9953,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Winter Outdoor Activities,Nike Men CBF H/A SS RE Yellow Jersey,9953.jpg
8881,Men,Apparel,Bottomwear,Trousers,Navy Blue,Summer,Everyday Wear Activities,Scullers Men Scul Navy Blue Trousers,8881.jpg
7267,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,Everyday Wear Activities,Rockport Men Brown Leather Casual Shoes,7267.jpg
5537,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Summer Outdoor Activities,Nike Men's Free Black White Shoe,5537.jpg
8952,Men,Apparel,Bottomwear,Trousers,Black,Fall,Business and Professional Activities,Indigo Nation Men TR Yarn Dyed Black Trousers,8952.jpg
15730,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Winter Outdoor Activities,Nike Men Downshifter 4 MSL Black Sports Shoes,15730.jpg
10032,Men,Apparel,Topwear,Tshirts,Black,Fall,Winter Outdoor Activities,Nike Men AS FCB Core T Black T-shirts,10032.jpg
10262,Men,Apparel,Bottomwear,Trousers,Black,Fall,Business and Professional Activities,John Miller Men Black Trousers,10262.jpg
10601,Men,Apparel,Topwear,Tshirts,Blue,Fall,Winter Outdoor Activities,Nike Men Football Soccer Blue Jerseys,10601.jpg
9989,Men,Apparel,Topwear,Tshirts,Black,Fall,Winter Outdoor Activities,Nike Men As Ss Cruiser Black T-Shirts,9989.jpg
26448,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Winter Outdoor Activities,Puma Men Kuris Black Sports Shoes,26448.jpg
57497,Men,Footwear,Shoes,Casual Shoes,Tan,Summer,Business and Professional Activities,Lee Cooper Men Tan Shoes,57497.jpg
10080,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Winter Outdoor Activities,Reebok Men Run Sheer Black Sports Shoes,10080.jpg
43552,Men,Accessories,Headwear,Caps,Blue,Summer,Everyday Wear Activities,Puma Unisex Blue Complete Running Cap,43552.jpg
24220,Men,Accessories,Headwear,Caps,Blue,Summer,Summer Outdoor Activities,Nike Unisex Blue Tennis Cap,24220.jpg
10014,Men,Accessories,Headwear,Caps,Blue,Fall,Winter Outdoor Activities,Nike Unisex Feather lite Blue Caps,10014.jpg
10786,Men,Accessories,Headwear,Caps,Black,Fall,Winter Outdoor Activities,Nike Unisex Runng Black Caps,10786.jpg
10221,Women,Accessories,Bags,Handbags,Green,Winter,Everyday Wear Activities,Murcia Women Emma Green Handbags,10221.jpg
10243,Women,Accessories,Bags,Handbags,Red,Winter,Everyday Wear Activities,Murcia Women Emma Red Handbags,10243.jpg
10200,Women,Accessories,Bags,Handbags,Beige,Winter,Everyday Wear Activities,Murcia Women Emma Beige Handbags,10200.jpg
27228,Women,Apparel,Dress,Dresses,Pink,Summer,Everyday Wear Activities,Doodle Kids Girl Printed Pink Dress,27228.jpg
4984,Women,Apparel,Dress,Dresses,White,Summer,Everyday Wear Activities,Palm Tree Girls Beyonce White & Blue Dress,4984.jpg
27195,Women,Apparel,Dress,Dresses,Off White,Summer,Everyday Wear Activities,Doodle Kids Girl Printed Off White Dress,27195.jpg
10199,Women,Accessories,Bags,Handbags,Black,Winter,Everyday Wear Activities,Murcia Women Emma Black Handbags,10199.jpg
10016,Women,Apparel,Dress,Dresses,Pink,Summer,Everyday Wear Activities,Palm Tree Girl's Cr Blossom Drs Pink Dresses,10016.jpg
